FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName
1233751;2014;Carbon dioxide (CO2);0.225;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddzia? Elektrociep?owania Kielce;Kielce;Poland;50.897778;20.616389;Steam and air conditioning supply
1233759;2014;Carbon dioxide (CO2);8.51;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddzia? Elektrownia Turów;Bogatynia;Poland;50.948611;14.913056;Production of electricity
1233760;2014;Carbon dioxide (CO2);24.9;Elektrownia P?tnów II Sp.z o.o.;Konin;Poland;52.305487;18.231726;Production of electricity
1233767;2014;Carbon dioxide (CO2);6.12;Elektrownia Po?aniec Spó?ka Akcyjna - Grupa GDF SUEZ Energia Polska;Zawada;Poland;50.438088;21.336805;Production of electricity
1233776;2014;Carbon dioxide (CO2);0.22;MEGATEM EC-LUBLIN Sp. z o.o.;Lublin;Poland;51.242373;22.6045;Steam and air conditioning supply
1233777;2014;Carbon dioxide (CO2);0.107;FENICE Poland Sp. z o.o., Jednostka Operatywna Rzeszów;Rzeszów;Poland;50.018329;21.993599;Steam and air conditioning supply
1233779;2014;Carbon dioxide (CO2);0.281;TAURON Wytwarzanie Spó?ka Akcyjna -Oddzia? Elektrownia Blachownia w K?dzierzynie-Ko?lu;K?dzierzyn Ko?le;Poland;50.35;18.283333;Production of electricity
1233782;2014;Carbon dioxide (CO2);1.31;TAURON Wytwarzanie Spó?ka Akcyjna - Oddzia? Elektrownia Siersza w Trzebini;Trzebinia;Poland;50.206407;19.462967;Production of electricity
1233783;2014;Carbon dioxide (CO2);0.114;Radomskie Przedsi?biorstwo Energetyki Cieplnej `RADPEC` S.A., Ciep?ownia PO?UDNIE;Radom;Poland;51.356561;21.106024;Steam and air conditioning supply
1233786;2014;Carbon dioxide (CO2);0.366;TAURON WYTWARZANIE S.A., Oddzia? Zespó? Elektrociep?owni Bielsko-Bia?a, Elektrociep?ownia Bielsko-Pó?noc EC2;Czechowice-Dziedzice;Poland;49.875486;19.028792;Production of electricity
1233793;2014;Carbon dioxide (CO2);1.86;EDF Polska S.A. Oddzia? nr 1 w Krakowie;Kraków;Poland;50.054166;20.006944;Steam and air conditioning supply
1233794;2014;Carbon dioxide (CO2);1.52;Elektrownia Skawina S.A.;Skawina;Poland;49.975669;19.801072;Production of electricity
1233797;2014;Carbon dioxide (CO2);3.16;PGNiG TERMIKA SA, Elektrociep?ownia Siekierki;Warszawa;Poland;52.189631;21.090558;Steam and air conditioning supply
1233798;2014;Carbon dioxide (CO2);0.809;Enea Wytwarzanie Sp. z o.o., Elektrociep?ownia;Bia?ystok;Poland;53.148418;23.17008;Production of electricity
1233803;2014;Carbon dioxide (CO2);6.66;PGE Górnictwo i Energetyka Konwencjonalna SA Oddzia? Elektrownia Opole;Brzezie;Poland;50.751825;17.881965;Production of electricity
1233806;2014;Carbon dioxide (CO2);0.124;Przedsi?biorstwo Energetyczne w Siedlcach Sp. z o.o.;Siedlce;Poland;52.156889;22.306222;Steam and air conditioning supply
1233812;2014;Carbon dioxide (CO2);2.27;PGNiG TERMIKA SA, Elektrociep?ownia ?era?;Warszawa;Poland;52.294395;20.994255;Steam and air conditioning supply
1233813;2014;Carbon dioxide (CO2);0.128;PGNiG TERMIKA SA, Elektrociep?ownia Pruszków;Pruszków;Poland;52.17095;20.800969;Steam and air conditioning supply
1233814;2014;Carbon dioxide (CO2);0.646;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddzia? Zespó? Elektrowni Dolna Odra, Elektrownia Pomorzany;Szczecin;Poland;53.39221;14.525685;Production of electricity
1233817;2014;Carbon dioxide (CO2);0.395;Veolia Energia ?ód? S.A. Zak?ad nr 3;?ód?;Poland;51.798371;19.420266;Production of electricity
1233818;2014;Carbon dioxide (CO2);0.646;Veolia Energia ?ód? S.A. Zak?ad nr 4;?ód?;Poland;51.746323;19.53824;Production of electricity
1233827;2014;Carbon dioxide (CO2);0.589;Veolia Energia ?ód? S.A., Zak?ad nr 2;?ód?;Poland;51.742443;19.447646;Production of electricity
1233829;2014;Carbon dioxide (CO2);0.902;Zak?ad Wytwarzania Katowice;Katowice;Poland;50.285308;19.053876;Production of electricity
1233830;2014;Carbon dioxide (CO2);3.44;TAURON Wytwarzanie Spó?ka Akcyjna-Oddzia? Elektrownia ?aziska;?aziska Górne;Poland;50.133694;18.846472;Production of electricity
1233834;2014;Carbon dioxide (CO2);0.725;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddzia? Zespó? Elektrociep?owni Bydgoszcz, ELEKTROCIEP?OWNA BYDGOSZCZ II;BYDGOSZCZ;Poland;53.099167;18.0875;Steam and air conditioning supply
1233835;2014;Carbon dioxide (CO2);0.1;Miejskie Przedsi?biorstwo Energetyki Cieplnej Sp. z o.o., Wydzia? Ciep?owni Kortowo;Olsztyn;Poland;53.746835;20.449138;Steam and air conditioning supply
1233836;2014;Carbon dioxide (CO2);11.4;Elektrownia `KOZIENICE` S.A.;?wier?e Górne;Poland;51.664722;21.466666;Production of electricity
1233840;2014;Carbon dioxide (CO2);0.697;Zespó? Elektrowni P?tnów-Adamów -Konin S.A., Elektrownia Konin;Konin;Poland;52.284166;18.271111;Production of electricity
1233841;2014;Carbon dioxide (CO2);0.177;SYSTEM GAZOCI?GÓW TRANZYTOWYCH `EUROPOL GAZ` S.A., T?ocznia Szamotu?y;Emilianowo;Poland;52.565278;16.5575;Transport via pipeline
1233843;2014;Carbon dioxide (CO2);0.184;Kompania W?glowa S.A., Oddzia? Zak?ad Elektrociep?ownie, Elektrociep?ownia Chwa?owice;Rybnik;Poland;50.069918;18.552176;Steam and air conditioning supply
1233844;2014;Carbon dioxide (CO2);1.36;Elektrociep?ownia Chorzów `ELCHO` Sp. z o.o.;Chorzów;Poland;50.307771;18.968576;Production of electricity
