FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName;TotalQuantity;UnitName
297252;2009;Carbon monoxide (CO);0.00109;Dow Benelux BV (Hoek);TERNEUZEN;Netherlands;51.345;3.77984;Manufacture of other organic basic chemicals;1090000;kilogram
297255;2009;Carbon monoxide (CO);0.000618;Total Raffinaderij Nederland NV;NIEUWDORP;Netherlands;51.44703;3.72689;Manufacture of refined petroleum products;618000;kilogram
297265;2009;Carbon monoxide (CO);0.00182;ThermPhos International BV;Ritthem;Netherlands;51.45254;3.69114;Manufacture of other inorganic basic chemicals;1820000;kilogram
297282;2009;Carbon monoxide (CO);0.000501;SABIC Innovative Plastics BV;Bergen Op Zoom;Netherlands;51.51334;4.25661;Manufacture of plastics in primary forms;501000;kilogram
297402;2009;Carbon monoxide (CO);0.00102;Suiker Unie (Dinteloord);DINTELOORD;Netherlands;51.62055;4.43302;Manufacture of sugar;1020000;kilogram
297423;2009;Carbon monoxide (CO);0.000553;Shell Nederland Chemie BV (Moerdijk);Moerdijk;Netherlands;51.68512;4.56689;Manufacture of other organic basic chemicals;553000;kilogram
297456;2009;Carbon monoxide (CO);0.00181;Chemelot Site Permit BV;Geleen;Netherlands;50.96971;5.79911;Manufacture of other organic basic chemicals;1810000;kilogram
297458;2009;Carbon monoxide (CO);0.00123;Componenta BV (Hoensbroek);Hoensbroek;Netherlands;50.90825;5.94104;Casting of iron;1230000;kilogram
297465;2009;Carbon monoxide (CO);0.000698;Wienerberger BV Brunssum;Brunssum;Netherlands;50.9418;5.99224;Manufacture of bricks, tiles and construction products, in baked clay;698000;kilogram
307031;2009;Carbon monoxide (CO);0.00263;Talum, d.d., Kidri?evo;Kidri?evo;Slovenia;46.393036;15.790806;Aluminium production;2630000;kilogram
307062;2009;Carbon monoxide (CO);0.00105;Kovis Livarna d.o.o.;Štore;Slovenia;46.224028;15.301447;Casting of iron;1050000;kilogram
